"1000              ","SOFT 3/16                       ","DE 2 A 3                 ","DE 2 A 3                 ","MADEJAS 120 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1001              ","SOFT 2/7 MIX                    ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1002              ","SOFT 2/7                        ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1003              ","SOFT 4/7 MIX                    ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 120 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1004              ","SOFT 4/7                        ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 120 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1006              ","-EKOCRIL 3/16 MADEJAS           ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1007              ","EKOCRIL 4/7 MADEJAS             ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1008              ","TOFI                            ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1010              ","FEDE                            ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1011              ","LONDON 3/5                      ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1012              ","BERNY                           ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1013              ","ACRILICO 2/7 CHILAVERT          ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1014              ","ACRILICO 4/7 CHILAVERT          ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1015              ","ACRILICO 3/16 CHILAVERT         ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1016              ","LONDON 3/5 MIX                  ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1017              ","SOFT 4/16                       ","DE 2 A 3                 ","DE 2 A 3                 ","MADEJAS 120 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1019              ","DIXIE                           ","SIN DEFINIR              ","SIN DEFINIR              ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1020              ","LANA-ACRILICO 6/10              ","SIN DEFINIR              ","SIN DEFINIR              ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1021              ","SOFT 3/7                        ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1023              ","SOFT 3/16 MAXI-MADEJAS          ","DE 2 A 3                 ","DE 2 A 3                 ","SIN DEFINIR              ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1024              ","SOFT 4/7 500 GRS.               ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 500 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1027              ","CATA                            ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1028              ","CASANDRA                        ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1031              ","KOALA                           ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1044              ","TEO                             ","DE 7 A 8                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1045              ","LUCAS                           ","DE 7 A 8                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1047              ","ORALY                           ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1048              ","JUANY                           ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1049              ","TOBIAS                          ","DE 9 A 10                ","DE 9 A 10                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1052              ","AGATA                           ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1053              ","LUNA                            ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1054              ","ANDINA                          ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1066              ","ARCHY                           ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1067              ","BONY MIX                        ","DE 7 A 8                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1068              ","-NO USAR- LUXURY                ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1072              ","MICHELLE                        ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1073              ","COPOS MIX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1074              ","AGUS                            ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1075              ","FRIDA                           ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1077              ","BENJI                           ","DE 6 A 7                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1079              ","AGATA MIX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1081              ","FRANIE MIX                      ","NO APLICA                ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1083              ","FARREL                          ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
